Subscription,ResourceType,Name,ServiceName,Size,Status,VNet,Subnet,Location,ResourceGroup,ResourceId
Brandon's Azure Stuff,Microsoft.Automation/automationAccounts,qsuergprd000-automation-account,,,,,,eastus2,qsuergprd000,/subscriptions/c200c0a3-9cac-4dc7-a3aa-467d9d4fc273/resourceGroups/qsuergprd000/providers/Microsoft.Automation/automationAccounts/qsuergprd000-automation-account
Brandon's Azure Stuff,Microsoft.Automation/automationAccounts/configurations,qsuergprd000-automation-account/QSPlatform,,,,,,eastus2,qsuergprd000,/subscriptions/c200c0a3-9cac-4dc7-a3aa-467d9d4fc273/resourceGroups/qsuergprd000/providers/Microsoft.Automation/automationAccounts/qsuergprd000-automation-account/configurations/QSPlatform
Brandon's Azure Stuff,Microsoft.Compute/availabilitySets,qsueasprdwhl,,,,,,eastus,qsuergprd000,/subscriptions/c200c0a3-9cac-4dc7-a3aa-467d9d4fc273/resourceGroups/qsuergprd000/providers/Microsoft.Compute/availabilitySets/qsueasprdwhl
Brandon's Azure Stuff,Microsoft.Compute/availabilitySets,qsueasprdftd,,,,,,eastus,qsuergprd000,/subscriptions/c200c0a3-9cac-4dc7-a3aa-467d9d4fc273/resourceGroups/qsuergprd000/providers/Microsoft.Compute/availabilitySets/qsueasprdftd
Brandon's Azure Stuff,Microsoft.Compute/availabilitySets,qsueasprdapi,,,,,,eastus,qsuergprd000,/subscriptions/c200c0a3-9cac-4dc7-a3aa-467d9d4fc273/resourceGroups/qsuergprd000/providers/Microsoft.Compute/availabilitySets/qsueasprdapi
Brandon's Azure Stuff,Microsoft.Compute/virtualMachines,qsuevmprdapi001,,Standard_D1,Running,qsueniprdwhl1,Succeeded,eastus,qsuergprd000,/subscriptions/c200c0a3-9cac-4dc7-a3aa-467d9d4fc273/resourceGroups/qsuergprd000/providers/Microsoft.Compute/virtualMachines/qsuevmprdapi001
Brandon's Azure Stuff,Microsoft.Compute/virtualMachines,qsuevmprdftd000,,Standard_D1,Running,qsueniprdwhl1,Succeeded,eastus,qsuergprd000,/subscriptions/c200c0a3-9cac-4dc7-a3aa-467d9d4fc273/resourceGroups/qsuergprd000/providers/Microsoft.Compute/virtualMachines/qsuevmprdftd000
Brandon's Azure Stuff,Microsoft.Compute/virtualMachines,qsuevmprdapi000,,Standard_D1,Running,qsueniprdwhl1,Succeeded,eastus,qsuergprd000,/subscriptions/c200c0a3-9cac-4dc7-a3aa-467d9d4fc273/resourceGroups/qsuergprd000/providers/Microsoft.Compute/virtualMachines/qsuevmprdapi000
Brandon's Azure Stuff,Microsoft.Compute/virtualMachines,qsuevmprdwhl001,,Standard_D1,Running,qsueniprdwhl1,Succeeded,eastus,qsuergprd000,/subscriptions/c200c0a3-9cac-4dc7-a3aa-467d9d4fc273/resourceGroups/qsuergprd000/providers/Microsoft.Compute/virtualMachines/qsuevmprdwhl001
Brandon's Azure Stuff,Microsoft.Compute/virtualMachines,qsuevmprdftd001,,Standard_D1,Running,qsueniprdwhl1,Succeeded,eastus,qsuergprd000,/subscriptions/c200c0a3-9cac-4dc7-a3aa-467d9d4fc273/resourceGroups/qsuergprd000/providers/Microsoft.Compute/virtualMachines/qsuevmprdftd001
Brandon's Azure Stuff,Microsoft.Compute/virtualMachines,qsuevmprdwhl000,,Standard_D1,Running,qsueniprdwhl1,Succeeded,eastus,qsuergprd000,/subscriptions/c200c0a3-9cac-4dc7-a3aa-467d9d4fc273/resourceGroups/qsuergprd000/providers/Microsoft.Compute/virtualMachines/qsuevmprdwhl000
Brandon's Azure Stuff,Microsoft.Compute/virtualMachines/extensions,qsuevmprdftd001/IaaSDiagnostics,,,,,,eastus,qsuergprd000,/subscriptions/c200c0a3-9cac-4dc7-a3aa-467d9d4fc273/resourceGroups/qsuergprd000/providers/Microsoft.Compute/virtualMachines/qsuevmprdftd001/extensions/IaaSDiagnostics
Brandon's Azure Stuff,Microsoft.Compute/virtualMachines/extensions,qsuevmprdwhl001/Microsoft.Powershell.DSC,,,,,,eastus,qsuergprd000,/subscriptions/c200c0a3-9cac-4dc7-a3aa-467d9d4fc273/resourceGroups/qsuergprd000/providers/Microsoft.Compute/virtualMachines/qsuevmprdwhl001/extensions/Microsoft.Powershell.DSC
Brandon's Azure Stuff,Microsoft.Compute/virtualMachines/extensions,qsuevmprdapi001/IaaSDiagnostics,,,,,,eastus,qsuergprd000,/subscriptions/c200c0a3-9cac-4dc7-a3aa-467d9d4fc273/resourceGroups/qsuergprd000/providers/Microsoft.Compute/virtualMachines/qsuevmprdapi001/extensions/IaaSDiagnostics
Brandon's Azure Stuff,Microsoft.Compute/virtualMachines/extensions,qsuevmprdftd001/Microsoft.Powershell.DSC,,,,,,eastus,qsuergprd000,/subscriptions/c200c0a3-9cac-4dc7-a3aa-467d9d4fc273/resourceGroups/qsuergprd000/providers/Microsoft.Compute/virtualMachines/qsuevmprdftd001/extensions/Microsoft.Powershell.DSC
Brandon's Azure Stuff,Microsoft.Compute/virtualMachines/extensions,qsuevmprdapi000/IaaSDiagnostics,,,,,,eastus,qsuergprd000,/subscriptions/c200c0a3-9cac-4dc7-a3aa-467d9d4fc273/resourceGroups/qsuergprd000/providers/Microsoft.Compute/virtualMachines/qsuevmprdapi000/extensions/IaaSDiagnostics
Brandon's Azure Stuff,Microsoft.Compute/virtualMachines/extensions,qsuevmprdwhl000/Microsoft.Powershell.DSC,,,,,,eastus,qsuergprd000,/subscriptions/c200c0a3-9cac-4dc7-a3aa-467d9d4fc273/resourceGroups/qsuergprd000/providers/Microsoft.Compute/virtualMachines/qsuevmprdwhl000/extensions/Microsoft.Powershell.DSC
Brandon's Azure Stuff,Microsoft.Compute/virtualMachines/extensions,qsuevmprdftd000/IaaSDiagnostics,,,,,,eastus,qsuergprd000,/subscriptions/c200c0a3-9cac-4dc7-a3aa-467d9d4fc273/resourceGroups/qsuergprd000/providers/Microsoft.Compute/virtualMachines/qsuevmprdftd000/extensions/IaaSDiagnostics
Brandon's Azure Stuff,Microsoft.Compute/virtualMachines/extensions,qsuevmprdapi001/Microsoft.Powershell.DSC,,,,,,eastus,qsuergprd000,/subscriptions/c200c0a3-9cac-4dc7-a3aa-467d9d4fc273/resourceGroups/qsuergprd000/providers/Microsoft.Compute/virtualMachines/qsuevmprdapi001/extensions/Microsoft.Powershell.DSC
Brandon's Azure Stuff,Microsoft.Compute/virtualMachines/extensions,qsuevmprdapi000/Microsoft.Powershell.DSC,,,,,,eastus,qsuergprd000,/subscriptions/c200c0a3-9cac-4dc7-a3aa-467d9d4fc273/resourceGroups/qsuergprd000/providers/Microsoft.Compute/virtualMachines/qsuevmprdapi000/extensions/Microsoft.Powershell.DSC
Brandon's Azure Stuff,Microsoft.Compute/virtualMachines/extensions,qsuevmprdftd000/Microsoft.Powershell.DSC,,,,,,eastus,qsuergprd000,/subscriptions/c200c0a3-9cac-4dc7-a3aa-467d9d4fc273/resourceGroups/qsuergprd000/providers/Microsoft.Compute/virtualMachines/qsuevmprdftd000/extensions/Microsoft.Powershell.DSC
Brandon's Azure Stuff,Microsoft.DocumentDb/databaseAccounts,qsuesbprddat000,,,,,,eastus,qsuergprd000,/subscriptions/c200c0a3-9cac-4dc7-a3aa-467d9d4fc273/resourceGroups/qsuergprd000/providers/Microsoft.DocumentDb/databaseAccounts/qsuesbprddat000
Brandon's Azure Stuff,Microsoft.DocumentDb/databaseAccounts,qsueddprddat000,,,,,,eastus,qsuergprd000,/subscriptions/c200c0a3-9cac-4dc7-a3aa-467d9d4fc273/resourceGroups/qsuergprd000/providers/Microsoft.DocumentDb/databaseAccounts/qsueddprddat000
Brandon's Azure Stuff,microsoft.insights/actiongroups,QS-OMS-WS_AG_1,,,,,,global,qs-oms-rg,/subscriptions/c200c0a3-9cac-4dc7-a3aa-467d9d4fc273/resourceGroups/qs-oms-rg/providers/microsoft.insights/actiongroups/QS-OMS-WS_AG_1
Brandon's Azure Stuff,Microsoft.KeyVault/vaults,qskvueprddashboard,,,,,,eastus,qsuergprdmanagement,/subscriptions/c200c0a3-9cac-4dc7-a3aa-467d9d4fc273/resourceGroups/qsuergprdmanagement/providers/Microsoft.KeyVault/vaults/qskvueprddashboard
